pertanyaan_uji,kategori_benar,kata_kunci_jawaban,in_scope
"mau login coretax tapi lupa passwordnya gimana","Aktivasi & Akun","Lupa Kata Sandi",1
"situs resmi coretax alamatnya apa","Aktivasi & Akun","coretaxdjp.pajak.go.id",1
"gak bisa masuk akun coretax kenapa ya","Aktivasi & Akun","NIK/NPWP dan password sudah benar",1
"password djp online sama coretax itu sama ga sih","Aktivasi & Akun","Password awal Coretax sama dengan DJP Online",1
"passphrase di coretax fungsinya buat apa","Aktivasi & Akun","tanda tangan digital",1
"belum pernah bikin akun djp online, bisa daftar coretax langsung ga","Aktivasi & Akun","Daftar di Sini",1
"kode otorisasi djp itu maksudnya apa ya","Aktivasi & Akun","tanda tangan elektronik resmi",1
"langkah aktivasi akun coretax dari awal gimana","Aktivasi & Akun","Aktivasi Akun Wajib Pajak",1
"pengen bikin npwp lewat coretax caranya gimana","NPWP & Registrasi","Daftar di Sini",1
"pemadanan nik sama npwp itu maksudnya apa","NPWP & Registrasi","mengintegrasikan NIK",1
"npwp aku udah nyambung ke nik apa belum ya, cek dimana","NPWP & Registrasi","Informasi Umum",1
"cara ubah nik jadi npwp itu lewat mana","NPWP & Registrasi","registrasi",1
"daftar npwp online tanpa ke kantor pajak bisa ga","NPWP & Registrasi","coretaxdjp.pajak.go.id",1
"syarat bikin npwp buat badan usaha di kpp apa aja","NPWP & Registrasi","akta pendirian badan",1
"npwp pribadi aku statusnya non efektif, ngaruh ga ke npwp pt","NPWP & Registrasi","Non-Efektif",1
"npwp cv aku tanggal pengesahannya gak valid, gimana solusinya","NPWP & Registrasi","tanggal pengesahan",1
"lapor pajak tahunan pakai coretax caranya","Pelaporan SPT","Surat Pemberitahuan",1
"spt tahun 2024 lapornya dimana ya, masih di djp online apa udah coretax","Pelaporan SPT","djponline.pajak.go.id",1
"spt masa itu apaan sih di coretax","Pelaporan SPT","SPT Masa",1
"batas waktu lapor spt tahunan orang pribadi sampai kapan","Pelaporan SPT","bulan Maret",1
"deadline spt tahunan buat perusahaan kapan ya","Pelaporan SPT","bulan April",1
"tahun periode badan usaha kok gak muncul di coretax","Pelaporan SPT","logout",1
"udah lapor spt tapi hasilnya kurang bayar, harus ngapain","Pelaporan SPT","kode billing",1
